"HealthDistrict","establishmentName","permitName","permitNumber","program","PermitType","status","RiskCategory","catering","commissary","smokingStatus","wasteWaterGrease","inspectionFrequency","ApplicationDate","OriginalIssueDate","PermitIssueDate","ExpirationDate","FacilityAddress","city","zip","FIPSCode","LocalityName"
"EHD - Mount Rogers","186-fee-B&B-Sanders Mountain View Lodge","Sanders Mountain View Lodge B&B","ECUO-8DRQTP","Food Establishment","Bed & Breakfast Food Service","Surrendered","1","","NULL","Exempt","","12","11/17/2008","11/17/2008","1/1/2018","12/31/2018","560 Acorn Lane","Damascus","24236","NULL","NULL"
"EHD - Prince William","Dairy Queen","Dairy Queen","JMFN-54XJDC","Food Establishment","Restaurant","Surrendered","2","","NULL","Smoke Free","","NULL","7/12/2002","10/10/2002","10/26/2004","10/10/2005","14200 Smoketown Rd","Woodbridge","22192","NULL","NULL"
"EHD - Prince William","Dairy Queen","Dairy Queen","AJOS-6UGGN8","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","4","10/3/2005","10/3/2006","11/1/2013","10/31/2014","14200 Smoketown Rd","Woodbridge","22192","NULL","NULL"
"EHD - Richmond","Sun Deli","Sun Deli","SYOG-58G2RX","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","1/1/2002","1/1/2002","1/1/2012","12/31/2012","3911 Jefferson Davis Hwy.","Richmond","23234","NULL","NULL"
"EHD - Prince William","Chesapeake Ham","Chesapeake Ham","JKOE-557KFV","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","NULL","4/23/1995","3/27/2002","3/8/2010","2/23/2011","13273 Worth Ave","Woodbridge","22191","NULL","NULL"
"EHD - Richmond","Thompson Hospitality Services","Thompson Hospitality Services Kitchen/Cafeteria","AGML-58NNPE","Food Establishment","State College Food Service","Permitted","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","3/19/2002","3/21/2002","3/2/2022","3/31/2023","1500 N Lombardy St","Richmond","23220","NULL","NULL"
"EHD - Richmond","Thompson Hospitality Services","Thompson Hospitality Services- Panthers Grill","#REF!","Food Establishment","Fast Food Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","8/9/2017","7/5/2018","1/6/2023","9/30/2023","1500 N Lombardy St","Richmond","23220","NULL","NULL"
"EHD - Richmond","Thompson Hospitality Services","Thompson Hospitality Services - Mondo's Sub Shop","HMES-9BDN64","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","9/9/2013","9/9/2013","10/1/2017","9/30/2018","1500 N Lombardy St","Richmond","23220","NULL","NULL"
"EHD - Richmond","Thompson Hospitality Services","Thompson Hospitality Services-Panthers Brew","HMES-AQ3SLM","Food Establishment","Carry Out Food Service Only","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","8/9/2017","1/11/2018","1/6/2023","12/31/2023","1500 N Lombardy St","Richmond","23220","NULL","NULL"
"EHD - Richmond","Thompson Hospitality Services","Thompson Hospitality Services Concession Stand #1","SYOG-58G2FE","Food Establishment","Seasonal Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","1/1/2002","1/1/2002","3/2/2022","3/31/2023","1500 N Lombardy St","Richmond","23220","NULL","NULL"
"EHD - Richmond","Thompson Hospitality Services","Thompson Hospitality Services Concession Stand #2","SYOG-58G2FD","Food Establishment","Seasonal Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","1/1/2002","1/1/2002","3/2/2022","3/31/2023","1500 N Lombardy St","Richmond","23220","NULL","NULL"
"EHD - Prince William","La Chiquita","La Chiquita","AJOS-6ENQ38","Food Establishment","Mobile food unit","Surrendered","4","","NULL","","","NULL","7/26/2005","7/26/2005","7/26/2005","7/26/2006","6705 Token Valley Rd","Manassas","20112","NULL","NULL"
"EHD - Alleghany-Roanoke","4501 Shenandoah Ave NW","Kings & Queens","KHAN-AQAP8U","Food Establishment","Fast Food Restaurant","Out of Business","2","","NULL","Smoke Free","Grease Trap (Exterior)","NULL","8/16/2017","NULL","NULL","8/31/2018","4501 Shenandoah Avenue NW","Roanoke","24017","NULL","NULL"
"EHD - Alleghany-Roanoke","4501 Shenandoah Ave NW","J W's Grill-N-Lounge","#REF!","Food Establishment","Fast Food Restaurant","Out of Business","2","NO","NO","Smoke Free","None","","10/11/2011","NULL","NULL","NULL","4501 Shenandoah Avenue NW","Roanoke","24017","NULL","NULL"
"EHD - Alleghany-Roanoke","4501 Shenandoah Ave NW","Charbell's Sports Grill","KCHS-59PKG9","Food Establishment","Restaurant","Surrendered","3","","NULL","","","NULL","9/10/2003","6/1/2003","6/1/2003","5/31/2004","4501 Shenandoah Avenue NW","Roanoke","24017","NULL","NULL"
"EHD - Alleghany-Roanoke","4501 Shenandoah Ave NW","Sunny Restaurant & Sports Bar","KHAN-66BLU7","Food Establishment","Restaurant","Surrendered","4","","NULL","Restricted","","NULL","11/1/2004","12/20/2004","12/20/2004","12/19/2005","4501 Shenandoah Avenue NW","Roanoke","24017","NULL","NULL"
"EHD - Alleghany-Roanoke","4501 Shenandoah Ave NW","Mer-Anne's Soul Food","#REF!","Food Establishment","Full Service Restaurant","Withdrawn","2","NO","NO","Restricted","None","","11/2/2015","NULL","NULL","11/30/2016","4501 Shenandoah Avenue NW","Roanoke","24017","NULL","NULL"
"EHD - Richmond","Boondocks","Boondocks","HMES-8BAT9M","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Restricted","Grease Trap (Interior)","4","11/17/2010","11/19/2010","1/1/2018","12/31/2018","2220 Broad Rock Blvd","Richmond","23234","NULL","NULL"
"EHD - Prince William","Starbucks Coffee","Starbucks Coffee","JSUZ-677LVV","Food Establishment","Restaurant","Surrendered","3","","NULL","Non-Smoking","","NULL","12/31/1900","3/21/2005","3/21/2005","3/21/2006","4495 Cheshire Station Plz","Dale City","22193","NULL","NULL"
"EHD - Prince William","Kabob e Kabob","Kabob e Kabob","AJOS-7QAQN9","Food Establishment","Fast Food Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","3/19/2009","6/21/2009","6/4/2012","6/30/2013","4495 Cheshire Station Plz","Dale City","22193","NULL","NULL"
"EHD - Alleghany-Roanoke","3666 Ferncliff Avenue, NW","Ferncliff South/New Covenant","KHAN-8W9RTB","Food Establishment","Summer Food Service Program Feeding Site","Out of Business","1","","NULL","Smoke Free","","12","6/14/2012","NULL","NULL","NULL","3666 Ferncliff Avenue, NW","Roanoke","24017","NULL","NULL"
"EHD - Prince William","Silver Diner","Silver Diner","AJOS-AYFLCQ","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Exterior)","","5/2/2018","5/2/2018","6/1/2019","5/31/2023","14375 Smoketown Rd","Woodbridge","22192","NULL","NULL"
"EHD - Prince William","Silver Diner","Silver Diner","ETER-5BXNT5","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","Grease Trap (Exterior)","6","2/24/1993","9/12/2000","10/1/2017","9/30/2018","14375 Smoketown Rd","Woodbridge","22192","NULL","NULL"
"EHD - Alexandria","Eliza Mobile Unit","Eliza Mobile Unit","KVEJ-7SVRML","Food Establishment","Mobile Food Unit","Withdrawn","4","","NULL","Non-Smoking","","NULL","4/21/2009","NULL","NULL","NULL","4122 Duke St","Alexandria","22304","NULL","NULL"
"EHD - Mount Rogers","210-CLOSED-Fee-Bed&Breakfast-Fern Ridge Bed & Breakfast","210-CLOSED-Fee-Bed&Breakfast-Fern Ridge Bed & Breakfast","SHUT-93DSLV","Food Establishment","Bed & Breakfast Food Service","Surrendered","3","","NULL","Smoke Free","","4","12/27/2012","NULL","NULL","NULL","332 Fern Ridge Lane","Galax","24333","NULL","NULL"
"EHD - Arlington","Mayorga Coffee Roasters(I)","Mayorga Coffee Roasters(INACTIVE)","MSIN-6UUJWR","Food Establishment","Fast Food Restaurant","Business Closed","2","NO","NO","Smoke Free","None","","10/23/2006","12/19/2006","12/13/2013","12/31/2014","WNA-Terminal B-Space 35","Washington","20001","NULL","NULL"
"EHD - Arlington","Mayorga Coffee Roasters(I)","Maggie Moo's/Fruit Fusion(Inactive)","JCOE-5CCBKB","Food Establishment","Fast Food","Surrendered","2","","NULL","Non-Smoking","","NULL","1/1/2002","1/1/2002","1/1/2002","12/31/2002","WNA-Terminal B-Space 35","Washington","20001","NULL","NULL"
"EHD - Arlington","Mayorga Coffee Roasters(I)","Maggie Moo's/Smoothie King (INACTIVE)","JCOE-5CCBL5","Food Establishment","Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","1/1/2002","1/1/2002","2/10/2006","12/31/2006","WNA-Terminal B-Space 35","Washington","20001","NULL","NULL"
"EHD - Mount Rogers","198-CLOSED-Fee-Food-Jack’s Last Stand","Jack's Last Stand","CSIK-84VPZW","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Smoke Free","None","6","3/31/2010","4/26/2010","1/1/2013","12/31/2013","830 N 20th","Wytheville","24382","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Broad Street on State","Broad Street on State","STUR-AB5R82","Food Establishment","Mobile Food Unit","Withdrawn","","","NULL","Smoke Free","","NULL","6/7/2016","NULL","NULL","12/31/2016","847 Old Airport Road","BRISTOL","24201","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Broad Street on State","Broad Street Hotdogs & Catering","STUR-9KCMWC","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Smoke Free","","6","5/22/2014","7/30/2014","7/30/2014","1/1/2016","847 Old Airport Road","BRISTOL","24201","NULL","NULL"
"EHD - Fairfax","Thomas Jefferson Elementary School","Thomas Jefferson Elementary School","MVVE-5CDV9B","Food Establishment","Public Elementary School Food Service","Permitted","2","","NULL","Smoke Free","None","6","2/1/2001","2/1/2001","2/1/2001","12/31/2019","601 Oak St S","Falls Church","22046","NULL","NULL"
"EHD - Peninsula","Cam Cam Grocery & Deli","Cam Cam Grocery & Deli","CLEE-5FLR89","Food Establishment","Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","2/24/2003","2/25/2003","2/25/2003","2/29/2004","4454 John Tyler Highway","Williamsburg","23185","NULL","NULL"
"EHD - Peninsula","D & M Grocery & Deli","D & M Grocery & Deli","JBER-5KCKVP","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","3/3/2003","3/5/2003","3/25/2004","3/31/2005","4454 John Tyler Highway","Williamsburg","23185","NULL","NULL"
"EHD - Richmond","Foundation Learning Academy","Foundation Learning Academy","HMES-94XJ88","Food Establishment","Child Care Food Service","Surrendered","4","","NULL","Smoke Free","None","3","2/14/2013","2/25/2013","4/1/2016","3/31/2017","112 Brandon Road","Richmond","23224","NULL","NULL"
"EHD - Richmond","New Direction Childcare & Learning Cntr II","New Direction Childcare and Learning Center II","HMES-6Y8JCX","Food Establishment","Child Care Food Service","Surrendered","4","","NULL","Smoke Free","None","NULL","12/22/2006","2/8/2007","1/1/2012","12/31/2012","112 Brandon Road","Richmond","23224","NULL","NULL"
"EHD - Prince William","Mayfield 5","Mayfield 5","AJOS-83CHUP","Food Establishment","Public Middle or High School Food Service","Surrendered","4","","NULL","Smoke Free","","NULL","3/4/2010","3/4/2010","3/4/2010","8/31/2010","11500 New Life Way","Bristow","20136","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-Court Street Cafe ( CLOSED )","Court Street Cafe(CLOSED)","DSIS-5AKPQR","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","","NULL","1/27/2003","1/1/2003","1/1/2011","12/31/2011","351 North Court Street","Abingdon","24210","NULL","NULL"
"EHD - Prince William","Java Jacks Coffee Shop","Java Jacks Coffee Shop","AVEA-5NENT2","Food Establishment","Restaurant","Surrendered","2","","NULL","","","NULL","6/11/2003","6/17/2003","6/17/2003","6/17/2004","9112 Center Street","Manassas","20110","NULL","NULL"
"EHD - Prince William","Woodbridge High School","Woodbridge High School","JMFN-549JLT","Food Establishment","Public Middle or High School Food Service","Permitted","2","NO","NO","Smoke Free","Grease Trap (Interior)","6","9/18/2002","1/23/2003","9/1/2018","8/31/2023","3001 Old Bridge Rd","Woodbridge","22192","NULL","NULL"
"EHD - Mount Rogers","198-CLOSED-Fee-Food-Kmart #3706","198-Fee-Food-Kmart #3706","MFEL-5AMPRU","Food Establishment","Other Food Service","Surrendered","1","","NULL","Smoke Free","","NULL","10/19/1998","10/19/1998","1/1/2009","12/31/2009","1480 East Main Street","Wytheville","24382","NULL","NULL"
"EHD - Richmond","Maury Place at Monument","Maury Place at Monument","HMES-7D9QFP","Food Establishment","Bed & Breakfast Food Service","Surrendered","2","","NULL","Smoke Free","None","NULL","3/31/2008","10/22/2008","7/19/2013","9/30/2014","3101 West Franklin Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Ronnie’s Ribs, Wings & Other Things","Ronnie's Ribs, Wings & Other Things","AGML-7KTPXG","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","Outdoor","None","NULL","10/16/2008","11/4/2008","11/3/2008","9/30/2009","1708 East Main Street","Richmond","23223","NULL","NULL"
"EHD - Richmond","Plush Restaurant and Lounge","Plush Restaurant and Lounge","AGML-9XUR2J","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Outdoor smoking area","Grease Trap (Interior)","4","6/24/2015","8/24/2015","7/1/2018","6/30/2019","1708 East Main Street","Richmond","23223","NULL","NULL"
"EHD - Richmond","Aqua Lounge","Aqua Lounge","AGML-862H9C","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Outdoor smoking area","Grease Trap (Interior)","4","6/1/2010","12/15/2010","1/1/2014","12/31/2014","1708 East Main Street","Richmond","23223","NULL","NULL"
"EHD - Richmond","Cafe Diem","Cafe Diem","SYOG-58G2U8","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Restricted","Grease Trap (Interior)","NULL","1/1/2002","1/1/2002","4/1/2012","3/31/2013","600 North Sheppard Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Viceroy Food & Spirits","Viceroy Food & Spirits","HMES-98NJQ8","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","6/14/2013","6/25/2013","6/13/2014","6/30/2015","600 North Sheppard Street","Richmond","23221","NULL","NULL"
"EHD - Prince William","Potomac View Elementary School","Potomac View Elementary School","JSUZ-55EPQR","Food Establishment","Public Elementary School Food Service","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","9/18/2002","1/23/2003","9/1/2018","8/31/2023","14601 Lamar Rd","Woodbridge","22191","NULL","NULL"
"EHD - Prince William","Potomac View Elementary School","Potomac View Elementary School (#59210)","ETHN-9LMSFP","Food Establishment","Summer Food Service Program Feeding Site","Inspect on Request","2","","NULL","Smoke Free","","6","7/1/2014","NULL","NULL","NULL","14601 Lamar Rd","Woodbridge","22191","NULL","NULL"
"EHD - Western Tidewater","James L Camp YMCA","James L Camp YMCA","JBUH-B2HHXN","Food Establishment","Summer Food Dispensing","Business Closed","","NO","NO","Smoke Free","None","","6/1/2018","NULL","NULL","NULL","300 Crescent Dr.","Franklin","23851","NULL","NULL"
"EHD - Mount Rogers","117-CLOSED-Fee-food-Corney’s Gear Jammer","Corney's Gear Jammer","CEDS-6CSK63","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Restricted","","NULL","5/27/2005","5/27/2005","5/27/2005","8/31/2006","1058 W Stuart Dr","Hillsville","24343","NULL","NULL"
"EHD - Richmond","JSB- Fresh Express","JSB-Fresh Express","HMES-8QNKVW","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","None","NULL","1/18/2012","NULL","NULL","NULL","500 Spring Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","CRB Food Service-R & D","CRB Food Service-R & D Cafe","HMES-6T5QEU","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","None","NULL","8/11/2006","8/29/2006","7/1/2011","6/30/2012","500 Spring Street","Richmond","23219","NULL","NULL"
"EHD - Western Tidewater","Heaven’s Kitchen","Heaven's Kitchen","SWBY-659RKG","Food Establishment","Fast Food Restaurant","Surrendered","4","","NULL","","","NULL","9/28/2004","10/1/2004","10/1/2004","12/31/2005","931-C Armory Dr.","Franklin","23851","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Tang’s Garden Buffet","Tang's Garden Buffet","STUR-8DVPJU","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","3","1/7/2011","2/11/2011","2/11/2011","12/31/2012","3122 Lee Highway","Bristol","24202","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Tang’s Garden Buffet","Fast Lane","DSIS-5EZQ9C","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","12/17/2002","1/1/2003","1/1/2008","12/31/2010","3122 Lee Highway","Bristol","24202","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-Ellis Soda Shoppe & Grill (CLOSED)","Ellis Soda Shoppe & Grill","DVIS-7ECQQ3","Food Establishment","Full Service Restaurant","Business Closed","2","NO","NO","Smoke Free","None","6","5/5/2008","7/5/2008","1/1/2017","12/31/2017","217 W Main Street","Abingdon","24210","NULL","NULL"
"EHD - Prince William","Mulu Cafe #2","Mulu Cafe #2","AVEA-59RMZN","Food Establishment","Mobile food unit","Surrendered","1","","NULL","Smoke Free","","NULL","3/13/2002","NULL","NULL","NULL","7486 Stream Walk Ln","Manassas","20109","NULL","NULL"
"EHD - Arlington","US Airways Employee Lounge (I)","Usairways Employee Lounge(INACTIVE)","MVVE-5C4SZ4","Food Establishment","Vending Machine","Surrendered","1","","NULL","Non-Smoking","","NULL","1/1/2002","1/1/2002","1/1/2002","12/31/2002","WNA-Lower Level","Washington","20001","NULL","NULL"
"EHD - Arlington","US Airways Employee Lounge (I)","US Airways Employee Lounge Vending Machines (INACTIVE)","NGOZ-5ZZL4U","Food Establishment","Other Food Service","Surrendered","1","","NULL","Smoke Free","","NULL","6/16/2004","6/16/2004","1/20/2011","12/31/2011","WNA-Lower Level","Washington","20001","NULL","NULL"
"EHD - Arlington","US Airways Employee Lounge (I)","US Airways Employee Lounge(INACTIVE)","NGOZ-5L7QS5","Food Establishment","Vending Machines","Surrendered","1","","NULL","","","NULL","3/28/2003","4/1/2003","4/1/2003","12/31/2003","WNA-Lower Level","Washington","20001","NULL","NULL"
"EHD - Richmond","The Cask Cafe and Market","The Cask Cafe and Market","AGML-99UP7Y","Food Establishment","Full Service Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Interior)","6","7/22/2013","10/22/2013","12/22/2022","12/31/2023","206 South Robinson Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Biggs Mobile Foods","Biggs Mobile Foods","HMES-92WS29","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","4","12/12/2012","1/14/2013","1/1/2015","12/31/2015","1911 North 23rd Street","Richmond","23223","NULL","NULL"
"EHD - Richmond","The Crazy Greek","The Crazy Greek","SYOG-58FVZV","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","4","1/1/2002","1/1/2002","7/1/2016","6/30/2017","1903 Staples Mill Road","Richmond","23230","NULL","NULL"
"EHD - Richmond","The Greek Taverna","The Greek Taverna","AGML-AJ4NDK","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","10/7/2016","5/1/2017","3/28/2022","3/31/2023","1903 Staples Mill Road","Richmond","23230","NULL","NULL"
"EHD - Richmond","The BoardWalk","The BoardWalk","HMES-9WQR3U","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Exempt","Grease Trap (Interior)","6","5/21/2015","6/10/2015","7/1/2016","6/30/2017","1903 Staples Mill Road","Richmond","23230","NULL","NULL"
"EHD - Richmond","Union Bistro & Jazz","Union Bistro & Jazz","HMES-9UWQBS","Food Establishment","Full Service Restaurant/Caterer","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","3/23/2015","4/7/2015","4/1/2017","3/31/2018","2400 Northumberland Street","Richmond","23220","NULL","NULL"
"EHD - Prince William","Lucy’s Food","Lucy's Food","AJOS-6JCL9F","Food Establishment","Mobile food unit","Surrendered","4","","NULL","","","NULL","11/21/2005","NULL","NULL","NULL","13704 Gilbert Rd","Woodbridge","22193","NULL","NULL"
"EHD - Richmond","Nelson’s West Haven","Nelson's West Haven","SYOG-58G27X","Food Establishment","Adult Care Home Food Service","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","1/1/2002","1/1/2002","1/1/2012","12/31/2012","2223 West Grace Street","Richmond","23220","NULL","NULL"
"EHD - Rappahannock","Polar Bear Italian Ice","Polar Bear Italian Ice (VA CT588684)","DCOO-7S7JJQ","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","Smoke Free","","NULL","5/18/2009","6/16/2009","6/16/2009","12/31/2010","511 Smith Drive","Ruther Glen","22546","NULL","NULL"
"EHD - Richmond","The Eatery Restaurant","The Eatery Restaurant","HMES-759QPW","Food Establishment","Fast Food Restaurant","Permitted","3","NO","NO","Restricted","Grease Trap (Interior)","4","5/9/2007","7/19/2007","6/22/2022","6/30/2023","3000 West Cary Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","The Eatery","The Eatery","SYOG-58FVVR","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","","","NULL","1/1/2002","1/1/2002","1/1/2007","12/31/2007","3000 West Cary Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Brooks Diner","Brooks Diner","AGML-84QMST","Food Establishment","Full Service Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","4/21/2010","5/24/2010","7/1/2019","6/30/2020","1600 Brook Road, Suite A","Richmond","23220","NULL","NULL"
"EHD - Fairfax","EC-KK & L","EC-KK & L","AKCC-9LEP3F","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","4","6/25/2014","6/30/2014","7/1/2014","12/31/2016","6795 Wilson Bv # 11","FALLS CHURCH","22044","NULL","NULL"
"EHD - Peninsula","Silt","Silt","KCAR-9GPL55","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","","4","2/26/2014","5/9/2014","6/1/2015","5/31/2016","1915 Pocahontas Trail, C10","Williamsburg","23185","NULL","NULL"
"EHD - Peninsula","Silt","Le Yaca","CPUT-5C4GNH","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","10/30/2003","11/1/2003","11/1/2013","10/31/2014","1915 Pocahontas Trail, C10","Williamsburg","23185","NULL","NULL"
"EHD - Peninsula","Silt","Silt To Go","KCAR-9V8N5G","Food Establishment","Mobile Food Unit","Business Closed","3","YES","NO","Smoke Free","None","","4/3/2015","NULL","NULL","NULL","1915 Pocahontas Trail, C10","Williamsburg","23185","NULL","NULL"
"EHD - Richmond","The Red Door Restaurant","The Red Door Restaurant","#REF!","Food Establishment","Full Service Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","1/1/2002","1/1/2002","9/29/2020","9/30/2021","314 East Grace Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Mr. Submarine","Mr. Submarine","HMES-6WANEY","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","11/10/2006","12/8/2006","1/1/2010","12/31/2010","1110 E Main St","Richmond","23219","NULL","NULL"
"EHD - Richmond","Westhampton Day School","Westhampton Day School","#REF!","Food Establishment","Child Care Food Service","Permitted","4","NO","NO","Smoke Free","Grease Trap (Interior)","3","1/1/2002","1/1/2002","6/10/2022","6/30/2023","6100 Patterson Avenue","Richmond","23226","NULL","NULL"
"EHD - Prince William","China House","China House","JSUZ-55EKQ9","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","12","9/24/2002","4/30/2003","5/1/2019","4/30/2023","14645 Jefferson Davis Hwy","Woodbridge","22191","NULL","NULL"
"EHD - Prince William","La Hispanita","La Hispanita","AJOS-8LVJAZ","Food Establishment","Mobile Food Unit","Surrendered","4","","NULL","Smoke Free","","NULL","9/20/2011","9/26/2011","9/28/2011","9/30/2012","8816 Jacobs Ln","Manassas","20111","NULL","NULL"
"EHD - Prince William","Sports Bar Restaurant","Sports Bar Restaurant","JSUZ-62HKG8","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","","","NULL","12/31/1900","NULL","10/24/2004","10/24/2006","515 Broadway St.","Quantico","22134","NULL","NULL"
"EHD - Mount Rogers","186-Fee-Food-Davie Enterprises, CLOSED","Davie Enterprises","AKEE-7BTK7H","Food Establishment","Mobile Food Unit","Surrendered","4","","NULL","Non-Smoking","","NULL","2/13/2008","NULL","NULL","NULL","PO BOX 1187","Chilhowie","24319","NULL","NULL"
"EHD - Rappahannock","Saladeli","Saladeli","FWHY-8S4MT5","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","","NULL","2/23/2012","7/18/2012","7/18/2012","12/31/2013","15 Tech Road #101","Stafford","22556","NULL","NULL"
"EHD - Prince William","Ricky’s Chicken Restaurant","Ricky's Chicken Restaurant","AJOS-66BKZB","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","3","11/1/2004","11/1/2004","12/1/2018","11/30/2023","5840 Mapledale Plz","Woodbridge","22193","NULL","NULL"
"EHD - Prince William","Ricky’s Chicken Restaurant","Ricky's Chicken Restaurant","AVEA-5QSJFS","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","8/26/2003","2/5/2004","2/5/2004","2/5/2005","5840 Mapledale Plz","Woodbridge","22193","NULL","NULL"
"EHD - Rappahannock","New Imperial Garden","New Imperial Garden","FWHY-6S4R3P","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","7/27/2006","8/30/2006","8/30/2006","12/31/2008","2484 Jefferson Davis Highway","Stafford","22554","NULL","NULL"
"EHD - Prince William","Doc’s BBQ","Doc's BBQ","AVEA-5E2JE7","Food Establishment","Fast Food Restaurant","Surrendered","4","","NULL","","","NULL","9/16/2002","9/16/2002","9/16/2002","9/16/2002","10623 Dumfries Road","Manassas","20110","NULL","NULL"
"EHD - Alleghany-Roanoke","1312 Patterson Avenue SW","The Milennium Restaurant","KCHS-5C3KSD","Food Establishment","Restaurant","Surrendered","3","","NULL","","","NULL","2/8/1999","2/8/1999","9/1/2001","8/31/2002","1312 Patterson Avenue SW","Roanoke","24016","NULL","NULL"
"EHD - Fairfax","Good to Go","Good to Go","DSHR-7TZH5W","Food Establishment","Fast Food Restaurant","Surrendered","4","","NULL","Smoke Free","","3","7/16/2009","8/31/2009","8/4/2009","12/31/2014","201 N Washington St","Falls Church","22046","NULL","NULL"
"EHD - Richmond","VCU - Starbucks","VCU - Starbucks","#REF!","Food Establishment","Fast Food Restaurant","Permitted","1","NO","NO","Smoke Free","Grease Trap (Exterior)","12","12/18/2006","2/27/2007","4/21/2022","3/31/2023","901 Park Avenue","Richmond","23220","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Pink Flamingo","Pink Flamingo","STUR-ABDH7D","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Smoke Free","","6","5/20/2016","6/17/2016","6/10/2016","12/31/2016","540  Meadow Drive","BRISTOL","24201","NULL","NULL"
